PN,Name,Price,Price Origin,Screen Size,CPU,RAM,Hard Drive,Graphic Card,Weight,Rating,Rating detail,Rating Count,Comment Count
V4R53500U001W,Dell Vostro V3405 R5 3500U,16499000,16499000,"14.0""",Ryzen 5,4 GB,SSD 256 GB,AMD Radeon Graphics Vega 8,1.7,5,"['1', '0', '0', '0', '0']",1,599
90NB0S02-M00320,Asus Vivobook Flip TP470EA-EC027T/i3-1115G4,16199000,16199000,"14.0""",Core i3,4 GB,SSD 512 GB,Intel UHD Graphics,1.5,5,"['1', '0', '0', '0', '0']",1,261
70253899,Dell Vostro V3400 i3 1115G4/70253899,15899000,15899000,"14.0""",Core i3,8 GB,SSD 256 GB,Intel UHD Graphics,1.64,5,"['1', '0', '0', '0', '0']",1,154
V5I3001W,Dell Vostro V3500 i3 1115G4,15599000,15599000,"15.6""",Core i3,8 GB,SSD 256 GB,Intel UHD Graphics,1.98,5,"['2', '0', '0', '0', '0']",2,694
90NB0SG2-M23750,Asus VivoBook A515EA-BQ1530T/i3-1115G4,15390000,15390000,"15.6""",Core i3,4 GB,SSD 512 GB,Intel UHD Graphics,1.8,5,"['1', '0', '0', '0', '0']",1,6
P112F001,Dell Inspiron N3511 i3 1115G4/P112F001ABL,15299000,15299000,"15.6""",Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,1.73,5,"['1', '0', '0', '0', '0']",1,72
46M08PA,HP Pavilion 15 eg0509TU i3 1125G4,15299000,15999000,"15.6""",Core i3,4 GB,SSD 512 GB,Intel UHD Graphics,1.68,5,"['1', '0', '0', '0', '0']",1,177
46M12PA,HP Pavilion 15 eg0513TU i3 1125G4,14999000,14999000,"15.6""",Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,1.68,5,"['1', '0', '0', '0', '0']",1,247
nan,Dell Inspiron N3505 R3 3250U/Y1N1T3,14999000,14999000,"15.6""",Ryzen 3,8 GB,nan,AMD Radeon Graphics,1.81,nan,"['nan', 'nan', 'nan', 'nan', 'nan']",nan,nan
46L92PA,HP Pavilion 14 dv0520TU i3 1125G4/46L92PA,14999000,14999000,"14.0""",Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,1.41,5,"['1', '0', '0', '0', '0']",1,119
N3501C,"Dell Inspiron N3501C i3 1115G4/4GB/256GB/15.6""FHD/Win 10",14999000,14999000,"15.6""",Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,1.96,5,"['2', '0', '0', '0', '0']",2,468
X515EA-BQ1004T,Asus Vivobook X515EA-BQ1004T/i3-1115G4,14199000,14199000,"15.6""",Core i3,4 GB,SSD 512 GB,Intel UHD Graphics,1.8,5,"['1', '0', '0', '0', '0']",1,325
82H80040VN,Lenovo IdeaPad Slim 3 15ITL6 i3 1115G4,14199000,14999000,"15.6""",Core i3,8 GB,SSD 512 GB,Intel UHD Graphics,1.65,5,"['2', '2', '0', '0', '0']",4,269
519A7PA,HP 240 G8 i3 1005G1/519A7PA,12899000,12899000,"14.0""",Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,1.42,5,"['1', '0', '0', '0', '0']",1,1421
90NB0TT1-M08860,Asus Vivobook X415EA-EB639T/i3-1115G4,12799000,12799000,"14.0""",Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,1.6,5,"['8', '0', '0', '0', '0']",8,594
81X80055US,Lenovo Ideapad Slim 3 i3 1115G4/_81X80055US_NK,12499000,12499000,"15.6""",Core i3,8 GB,SSD 128 GB,Intel UHD Graphics,1.65,5,"['1', '0', '0', '0', '0']",1,2
NX.HS5SV.001,Acer Aspire 3 A315 56 37DV i3 1005G1/Đen/NX.HS5SV.001,12199000,12199000,"15.6""",Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,1.7,4,"['14', '9', '9', '4', '2']",3,1646
2021,Dell Inspiron N3510 Pentium N5030,11699000,11699000,"15.6""",Pentium,4 GB,SSD 128 GB,Intel UHD Graphics 605,1.65,5,"['1', '0', '0', '0', '0']",1,113
NK,Dell Inspiron N3502 Pentium N5030/NK,11499000,11499000,"15.6""",Pentium,4 GB,SSD 128 GB,Intel UHD Graphics 605,1.83,5,"['1', '0', '0', '0', '0']",1,0
NK,Dell Inspiron N3502 N4020/NK,10999000,10999000,"15.6""",Celeron,4 GB,SSD 128 GB,Intel UHD Graphics 600,1.83,5,"['1', '0', '0', '0', '0']",1,3
